Properties,Values
http://xmlns.com/foaf/0.1/name,1
http://dbpedia.org/property/years,2
http://dbpedia.org/property/followedBy,1
http://dbpedia.org/ontology/subsequentWork,2
http://dbpedia.org/property/pubDate,1
http://dbpedia.org/ontology/wikiPageEditLink,2
http://dbpedia.org/property/precededBy,0
http://dbpedia.org/ontology/language,0
http://dbpedia.org/ontology/lcc,0
http://dbpedia.org/property/mediaType,1
http://dbpedia.org/property/published,1
http://dbpedia.org/property/pages,1
http://dbpedia.org/property/language,1
http://dbpedia.org/ontology/country,0
http://purl.org/dc/terms/subject,1
http://dbpedia.org/property/wikiPageUsesTemplate,0
http://dbpedia.org/ontology/oclc,1
http://dbpedia.org/property/congress,3
http://dbpedia.org/ontology/nonFictionSubject,1
http://www.w3.org/2002/07/owl#sameAs,2
http://dbpedia.org/ontology/publicationDate,0
http://dbpedia.org/property/series,0
http://dbpedia.org/ontology/previousWork,3
http://dbpedia.org/ontology/thumbnail,2
http://dbpedia.org/ontology/wikiPageExtracted,2
http://dbpedia.org/property/titleOrig,1
http://dbpedia.org/property/subject,1
http://dbpedia.org/property/after,1
http://dbpedia.org/property/caption,2
http://xmlns.com/foaf/0.1/depiction,1
http://dbpedia.org/ontology/series,1
http://dbpedia.org/ontology/wikiPageOutDegree,1
http://www.w3.org/2000/01/rdf-schema#label,1
http://dbpedia.org/ontology/wikiPageLength,1
http://dbpedia.org/ontology/wikiPageHistoryLink,2
http://dbpedia.org/ontology/coverArtist,1
http://xmlns.com/foaf/0.1/homepage,0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1
